날짜,종가,오픈,고가,저가,거래량,변동 %
2018-12-05,"1,794.16","1,781.45","1,799.86","1,781.10",31.82M,-0.70%
2018-12-06,"1,764.37","1,782.57","1,782.94","1,761.58",39.80M,-1.66%
2018-12-07,"1,772.38","1,775.98","1,780.61","1,764.91",31.16M,0.45%
2018-12-09,"1,772.38","1,772.38","1,772.38","1,772.38",,0.00%
2018-12-10,"1,751.51","1,749.05","1,755.17","1,740.59",39.05M,-1.18%
2018-12-11,"1,747.62","1,755.09","1,755.59","1,742.35",36.23M,-0.22%
2018-12-12,"1,771.39","1,755.13","1,774.29","1,753.12",40.45M,1.36%
2018-12-13,"1,774.29","1,775.57","1,787.57","1,769.19",72.67M,0.16%
2018-12-14,"1,744.10","1,776.59","1,776.59","1,736.91",47.51M,-1.70%
2018-12-16,"1,744.10","1,744.10","1,744.10","1,744.10",,0.00%
2018-12-17,"1,749.85","1,743.57","1,756.71","1,740.75",33.09M,0.33%
2018-12-18,"1,742.53","1,736.05","1,753.12","1,733.67",36.64M,-0.42%
2018-12-19,"1,758.50","1,747.15","1,759.84","1,743.44",33.68M,0.92%
2018-12-20,"1,739.15","1,742.25","1,750.90","1,730.32",37.16M,-1.10%
2018-12-21,"1,741.89","1,729.84","1,741.89","1,726.36",43.20M,0.16%
2018-12-23,"1,741.89","1,741.89","1,741.89","1,741.89",,0.00%
2018-12-24,"1,740.00","1,731.88","1,743.82","1,727.94",27.46M,-0.11%
2018-12-25,"1,740.00","1,740.00","1,740.00","1,740.00",,0.00%
2018-12-26,"1,721.33","1,718.28","1,729.27","1,710.85",40.26M,-1.07%
2018-12-27,"1,714.23","1,725.39","1,725.91","1,709.61",36.85M,-0.41%
2018-12-28,"1,723.22","1,721.81","1,729.41","1,718.64",28.28M,0.52%
2019-01-01,"1,723.22","1,723.22","1,723.22","1,723.22",,0.00%
2019-01-02,"1,701.16","1,732.45","1,735.81","1,696.01",29.72M,-1.28%
2019-01-03,"1,684.17","1,699.38","1,704.72","1,681.52",38.47M,-1.00%
2019-01-04,"1,696.43","1,683.37","1,697.42","1,676.71",42.60M,0.73%
2019-01-06,"1,696.43","1,696.43","1,696.43","1,696.43",,0.00%
2019-01-07,"1,721.79","1,717.45","1,730.10","1,715.12",45.41M,1.49%
2019-01-08,"1,709.31","1,716.59","1,729.81","1,707.42",41.10M,-0.72%
2019-01-09,"1,752.09","1,718.42","1,754.38","1,717.53",43.19M,2.50%
2019-01-10,"1,754.61","1,753.72","1,761.91","1,748.00",45.05M,0.14%
2019-01-11,"1,766.31","1,761.74","1,768.84","1,755.43",32.08M,0.67%
2019-01-13,"1,766.31","1,766.31","1,766.31","1,766.31",,0.00%
2019-01-14,"1,748.57","1,759.75","1,762.83","1,743.13",30.65M,-1.00%
2019-01-15,"1,784.62","1,752.18","1,784.71","1,749.78",32.85M,2.06%
2019-01-16,"1,794.46","1,784.17","1,794.86","1,776.94",28.95M,0.55%
2019-01-17,"1,802.28","1,796.47","1,808.82","1,793.92",35.99M,0.44%
2019-01-18,"1,813.66","1,808.68","1,815.37","1,806.67",31.82M,0.63%
2019-01-20,"1,813.66","1,813.66","1,813.66","1,813.66",,0.00%
2019-01-21,"1,815.26","1,820.23","1,821.83","1,801.03",35.46M,0.09%
2019-01-22,"1,806.43","1,815.23","1,818.66","1,797.40",31.72M,-0.49%
2019-01-23,"1,811.48","1,795.90","1,817.22","1,792.83",32.49M,0.28%
2019-01-24,"1,834.19","1,815.45","1,834.19","1,813.37",41.45M,1.25%
2019-01-25,"1,871.84","1,841.56","1,871.84","1,840.68",50.99M,2.05%
2019-01-27,"1,871.84","1,871.84","1,871.84","1,871.84",,0.00%
2019-01-28,"1,871.68","1,878.14","1,884.26","1,863.24",41.59M,-0.01%
2019-01-29,"1,883.79","1,867.70","1,883.79","1,858.95",37.92M,0.65%
2019-01-30,"1,910.25","1,881.33","1,910.25","1,876.78",47.07M,1.40%
